"planet_idx"	"PLANET"	"Star_number"	"MASS"	"DENSITY (EARTH)"	"Radius"	"TERRAIN"	"CLIMATE"
220	"Nikawiy VIII"	1067	na	1.333	1.58	"island"	"windy, frigid"
221	"Lyraflux Omega"	5301	2.98	0.856	1.52	"grassy hill, acid pool, rocky island, cityscape, volcano, verdant, hill, tundra"	"subartic, arid, rocky, superheated, hot"
222	"Sakuya Nebula Janusian"	1047	2.14	1.081	1.26	"vine"	"windy, temperate, rocky"
223	"Ryusei Radiance Prime"	5254	5.54	1.018	1.76	"river, island, hill, sea, verdant"	"frozen, frigid, rocky, subartic"
224	"Ryusei Radiance Octal"	5254	7.71	0.74	2.18	"savanna, ocean, cliff"	"rocky, windy, artificial temperate"
225	"Ryusei Radiance Sextant"	5254	na	1.082	1.13	"rainforest, jungle"	"humid, subartic, superheated, rocky"
226	"Ryusei Radiance Septimal"	5254	8.99	1.33	1.89	"acid pool, mountain, rainforest, volcano"	"temperate, arid, humid, tropical"
227	"Nebula Mirage Museios"	28	1.84	0.891	1.27	"canyons, rocky canyon, plateau, mountain"	"frozen, tropical, superheated"
228	"Citalá XX"	9056	3.89	1.144	1.5	"rocky island, grassy hill, ash, rock arche"	"tropical, superheated, temperate, windy"
229	"Tabit Zephyrian"	5242	0.73	1.121	0.87	"canyons, valley, tundra, cityscape, plain"	"rocky, frozen, artic, windy"
230	"Tabit Nymphios"	5242	7.05	0.786	2.08	"valley"	"artificial temperate"
231	"Astral Whisper Qi"	473	7.06	1.318	1.75	"rock arche, barren"	"arid, temperate"
232	"Astral Whisper Si"	473	1.83	0.953	1.24	"toxic cloudsea, field, glacier, lakes, rock arche, swamp, urban"	"artic, temperate, tropical, frozen, humid"
233	"Astral Whisper Jiu"	473	1.62	1.035	1.16	"swamp, plain, verdant, ice canyon, ocean, cave, mountain, tundra"	"subartic, rocky, frozen, tropical, frigid"
234	"Obelisk Beacon Chi"	6804	2.46	0.673	1.54	"river, volcano, urban, glacier, bog, rocky desert"	"arid, frigid, artificial temperate, subartic, temperate"
235	"Obelisk Beacon Kappa"	6804	2.37	1.188	1.26	"ice canyon, tundra, hill"	"windy, temperate, subartic"
236	"Obelisk Beacon Omicron"	6804	2.33	1.033	1.31	"mountain, city"	"superheated, artic, artificial temperate, humid, temperate, arid"
237	"Obelisk Beacon Iota"	6804	5.54	1.116	1.71	"desert, plateau, island"	"rocky, tropical"
238	"Amun-Ra Mirage Duodecimal"	4368	1.85	1.037	1.21	"rainforest, mountain"	"tropical"
239	"Dìwö Psychean"	6423	6.12	1.127	1.76	"urban"	"hot, tropical, windy, subartic"
240	"Adhafera Gamma"	1942	1.17	0.904	1.09	"verdant, tundra, grassy hill, lava river, ice cave, desert"	"superheated, rocky, artic, temperate"
241	"Adhafera Kappa"	1942	1.4	0.744	1.23	"grassy hill, bog"	"subartic, rocky, superheated, artificial temperate, humid"
242	"Adhafera Omega"	1942	7.89	0.766	2.18	"jungle"	"frozen, subartic, frigid, tropical, rocky, windy"
243	"Adhafera Eta"	1942	0.79	0.904	0.96	"tundra"	"arid, artic, rocky, temperate, superheated, tropical"
244	"Asterion Abyss Wu"	5923	3.45	0.759	1.66	"lava river, swamp, grassy hill"	"tropical, windy, hot"
245	"Asterion Abyss Er"	5923	2.65	0.382	1.91	"ocean"	"tropical, humid, hot"
246	"Aldebaran Kappa"	5227	0.95	1.396	0.88	"plain, grassy hill, rocky island, fungus forest, grassland"	"humid, artificial temperate, rocky, frigid"
247	"Ra's Ascendance Zeta"	4002	1.97	1.134	1.2	"rock arche, cliff, rainforest"	"rocky, tropical, frigid, windy, superheated, frozen"
248	"Bonsai Silence Jiu"	3759	2.79	1.392	1.26	"rocky desert, savanna, island"	"windy, arid, hot, temperate, artic"
249	"Bonsai Silence Si"	3759	3.28	1.308	1.36	"plain"	"superheated, temperate, frigid, artic"
250	"Bonsai Silence San"	3759	3.16	0.518	1.83	"plateau, grassland"	"temperate, artificial temperate, windy"
251	"Bonsai Silence Shi"	3759	2.33	0.95	1.35	"plain, bog, rocky canyon"	"artificial temperate, hot"
252	"Sāmaya Sextant"	3081	8.82	1.136	1.98	"savanna, jungle"	"frigid, hot, artificial temperate"
253	"Sāmaya Tertial"	3081	na	1.418	1.1	"jungle, fungus forest, jungle, sea"	"hot, artic, tropical, frozen, humid, artificial temperate"
254	"Sāmaya Nonal"	3081	0.47	1.501	0.68	"reef"	"tropical, superheated, subartic, windy, artificial temperate, hot"
255	"Sāmaya Secant"	3081	0.41	0.405	1	"sea"	"superheated, windy, arid, artificial temperate, subartic"
256	"Achernar Qi"	5315	1.73	0.751	1.32	"reef, island"	"artic, superheated, temperate, hot"
257	"Achernar San"	5315	1.53	0.67	1.32	"ice canyon, rocky canyon, plateau"	"frigid, tropical, frozen, subartic"
258	"Achernar Shi"	5315	0.53	0.826	0.86	"acid pool, ice cave, cliff, valley, plain, plateau"	"artic, frigid, humid, hot, superheated"
259	"Radiancea San"	4077	2.8	0.684	1.6	"verdant, toxic cloudsea, tundra, lava river, lakes, urban, cityscape"	"frozen, superheated, temperate, artificial temperate, tropical"
260	"Radiancea Liu"	4077	5.58	0.977	1.79	"cave, toxic cloudsea, ice cave, plateau"	"artic, subartic, frozen"
261	"Radiancea Ba"	4077	2.38	0.933	na	"hill"	"rocky, frozen"
262	"Radiancea Yi"	4077	1.21	1.001	1.07	"volcano, river, tundra"	"tropical, hot, temperate, frigid"
263	"Reikon Resonance Wu"	3394	na	1.207	0.95	"desert, island, canyons, plain, hill"	"rocky, tropical, arid"
264	"Reikon Resonance Er"	3394	1.6	1.147	1.12	"cave, lava river, ocean, fungus forest, urban, bog, rocky desert, plain"	"arid, artic, subartic, hot, artificial temperate"
265	"Reikon Resonance Liu"	3394	4.05	0.49	2.02	"plateau, rocky desert, bog, vine, plain"	"humid, superheated, temperate, hot, rocky"
266	"Heze Si"	4703	1.51	1.074	1.12	"rainforest, canyons, reef, field, sinkholes, barren"	"artic, temperate, frozen, arid, superheated, windy"
267	"Heze Wu"	4703	5.36	0.965	1.77	"ice canyon, mountain, rocky canyon, acid pool, rocky island"	"artificial temperate, rocky, frigid"
268	"Heze San"	4703	na	1.118	1.93	"plateau, plain"	"rocky, humid, artificial temperate"
269	"Heze Yi"	4703	5.94	1.088	1.76	"ocean, plain, plateau"	"humid, rocky, tropical"
270	"Revati Psi"	4439	7.27	0.912	2	"mountain"	"hot, tropical, artificial temperate"
271	"Alhena Nemesisian"	6094	6.05	0.93	1.87	"island, ice cave, vine"	"superheated, subartic, temperate"
272	"Alhena Herculean"	6094	1.91	1.085	1.21	"rocky island"	"artificial temperate"
273	"Alhena Olympus"	6094	1.97	0.802	1.35	"fungus forest, lava river, cliff, grassland, lakes, sinkholes, rock arche, volcano"	"arid, frigid, hot, temperate, subartic"
274	"Cleopatra's Resonance Hadean"	3266	1.88	1.187	1.17	"jungle"	"humid, arid"
275	"Torcular Janusian"	9793	1.45	0.891	1.18	"hill, canyons, lava river, lakes, ash"	"artificial temperate, temperate, hot, rocky, windy"
276	"Torcular Apollox"	9793	3.5	0.937	1.55	"acid pool, toxic cloudsea"	"artic, subartic, rocky"
277	"Algorab Hadean"	5977	6.27	0.944	1.88	"plain, mountain, river, cave"	"subartic, frozen, frigid"
278	"Algorab Titanos"	5977	4.56	1.085	1.61	"swamp, rocky desert, hill, ash, mountain, field"	"arid, hot, artificial temperate, windy, temperate, tropical"
279	"Petra Mu"	2834	1.74	1.1	1.17	"acid pool, sinkholes"	"hot"
280	"Petra Theta"	2834	na	1.639	1.65	"bog, rainforest, scrubland, river, ice cave"	"artic, humid, frigid, arid"
281	"Lotus Echo Orphean"	497	1.71	1.564	1.03	"toxic cloudsea"	"arid, artic, artificial temperate, rocky"
282	"Yed Prior Persephonian"	8056	1.01	1.245	0.93	"ocean, grassy hill, rainforest"	"windy, hot, superheated"
283	"Misam Pi"	1535	2.24	0.761	1.43	"desert"	"windy, superheated, frigid"
284	"Cosmic Whispers Wu"	5062	7.72	0.954	2.01	"cliff"	"frozen, artic"
285	"Fuyue Athenian"	1614	6.88	0.905	1.97	"grassland, grassy hill, fungus forest"	"frigid, temperate, tropical, humid, arid, subartic"
286	"Celestial Echo XIV"	8177	2.95	1.099	na	"glacier"	"frigid, artic, superheated"
287	"Celestial Echo XIX"	8177	7	1.105	1.85	"ice canyon, ice cave, rock arche"	"frigid, artic"
288	"Celestial Echo XXIII"	8177	2.04	1.085	1.23	"rainforest"	"subartic, artic, frigid, rocky, arid, superheated"
289	"Heliconian Whispers Vigesimal"	4442	9.67	1.047	2.1	"plateau"	"rocky, frigid"
290	"Mjoltr Omega"	9932	2.22	0.649	1.51	"sea, cliff, verdant, reef, cave"	"windy, frigid, frozen, artic, temperate"
291	"Solarionara Pantheon"	1691	4.26	1.092	1.57	"plateau"	"windy, superheated, frozen, artificial temperate"
292	"Hannya's Expanse III"	6476	4.72	0.965	1.7	"rocky island"	"subartic, artificial temperate"
293	"Hannya's Expanse XV"	6476	5.22	0.81	1.86	"rocky island, hill, field, sea, bog"	"rocky, artificial temperate, tropical, arid"
294	"Tarazed Herculean"	3705	8.36	1.338	1.84	"desert, cave, savanna, rock arche, rocky desert"	"frozen, frigid, superheated, artic"
295	"Kagayaki Mu"	5462	6.33	1.261	1.71	"island, plateau, tundra"	"hot, rocky, arid, subartic, tropical, temperate, humid"
296	"Kagayaki Lambda"	5462	1.05	1.057	1	"desert, valley"	"arid"
297	"Kagayaki Sigma"	5462	4.11	1.441	1.42	"bog"	"humid, windy, frozen"
298	"Kagayaki Omega"	5462	7.75	0.358	2.79	"plain, ocean"	"artificial temperate, frigid, subartic"
299	"Tapecue Duodecimal"	8301	2.28	0.717	1.47	"grassy hill, forest, ice canyon, sea, ocean, urban"	"artic, frigid, artificial temperate, superheated, rocky"
300	"Adhara XX"	7882	1	0.941	1.02	"desert, verdant, rock arche, lakes, urban, volcano, acid pool, bog"	"arid, windy, rocky, tropical, frigid, subartic, frozen"
301	"Adhara VI"	7882	1.29	0.916	1.12	"sinkholes, ash, forest"	"tropical, superheated"
302	"Adhara V"	7882	7.63	1.159	1.87	"island, city"	"superheated, subartic, artificial temperate"
303	"Adhara XV"	7882	3.67	1.411	1.38	"grassy hill, lakes"	"humid"
304	"Dracoara Quintal"	3986	4.92	0.834	1.81	"rock arche, vine, ice cave"	"windy, artic, humid, frigid"
305	"Nile Celestial Alpha"	2286	8.7	1.082	2	"cliff, plain, valley"	"superheated, arid"
306	"Alfirk XXIV"	5886	6.33	1.13	1.78	"scrubland"	"arid, frigid, artificial temperate"
307	"Alfirk II"	5886	2.77	0.727	1.56	"forest"	"frozen, subartic, rocky, artificial temperate"
308	"Alfirk XVII"	5886	4.21	0.72	1.8	"glacier, bog, rocky desert, valley, tundra, plateau"	"windy, hot, humid, temperate, subartic"
309	"Alfirk X"	5886	8.2	1.149	1.93	"reef, river, ice cave, rainforest"	"frozen, tropical, humid"
310	"Sika Echoian"	9880	2.34	1.152	1.27	"rocky canyon, ice canyon, rock arche, volcano"	"rocky, arid, hot, frigid, artificial temperate"
311	"Alkarab Apollox"	3931	5.58	1.098	1.72	"swamp, reef, ice canyon, tundra, plateau"	"hot, subartic, tropical, temperate, frozen, windy"
312	"Sterrennacht Si"	7492	7.47	0.981	1.97	"ocean, lakes, rock arche"	"windy, subartic, artic, hot"
313	"Sterrennacht Shi"	7492	0.71	1.416	0.79	"reef, cliff"	"frigid, frozen"
314	"Yami Silence Helios"	7049	0.91	1.241	0.9	"rocky island"	"artificial temperate"
315	"Cervantes Jiu"	9927	2.48	1.139	1.3	"ash, rock arche, sea, jungle, ice canyon, rocky desert, grassy hill"	"frozen, artificial temperate, temperate, artic, superheated, hot"
316	"Cervantes San"	9927	6.79	0.805	2.04	"fungus forest, rocky canyon, urban, rainforest, rocky island"	"temperate, artificial temperate, artic, windy, humid"
317	"Cervantes Er"	9927	6.21	1.364	1.66	"reef"	"subartic, frigid"
318	"Cervantes Shi"	9927	1.35	1.243	1.03	"cliff, hill, lakes, sinkholes, rocky canyon, reef"	"arid, rocky, superheated, artificial temperate"
319	"Ignitionix Poseidian"	1632	6.11	0.843	1.94	"sea, rocky desert"	"humid, frigid, subartic, superheated"
320	"Akatsuki Celestial XVI"	915	2.81	0.522	1.75	"lava river, ocean, grassy hill, city, lakes"	"temperate, superheated, frigid"
321	"Umbra Veil Decimal"	8118	3.42	1.152	1.44	"plateau, grassy hill, urban"	"artificial temperate, temperate"
322	"Umbra Veil Undecimal"	8118	3.09	0.789	1.58	"plain"	"humid, artificial temperate, hot, frozen, temperate"
323	"Umbra Veil Vigesimal"	8118	3.25	0.676	1.69	"glacier, lava river, sinkholes, verdant"	"rocky, humid, subartic, frigid, artificial temperate, arid, hot"
324	"Nenque Faunios"	1248	1.94	0.828	1.33	"volcano"	"rocky, artificial temperate, hot, superheated, artic"
325	"Nenque Artemian"	1248	8.09	0.797	2.17	"sea, field"	"temperate"
326	"Nenque Apollox"	1248	5.58	1.175	1.68	"rocky canyon"	"frigid, artificial temperate, tropical, arid, windy, artic"
327	"Tsukiyo Mu"	7136	1.84	1.347	1.11	"reef, cave, toxic cloudsea, urban, valley"	"tropical, temperate, windy, frozen"
328	"Acrab Dionysios"	9871	1.84	0.872	1.28	"canyons, ash, river"	"superheated, frigid"
329	"Arcturus Nyxios"	4034	6.57	1.32	1.71	"forest, cave"	"arid, temperate, subartic"
330	"Almaaz Wu"	5191	0.96	1.418	0.88	"rainforest, plain, swamp, lakes"	"arid, humid, artificial temperate, superheated, subartic"
331	"Ombria Qi"	5471	5.35	1.276	1.61	"city, rocky island, ocean"	"windy, humid, frigid, artic"
332	"Ombria Liu"	5471	7.51	1.564	1.69	"verdant, fungus forest, vine, rocky island"	"superheated, humid, hot"
333	"Castula IX"	8274	2.81	1.109	1.36	"sea, verdant, valley, mountain, jungle, hill, forest, ash"	"hot, arid, artic, frigid, temperate"
334	"Castula XXIII"	8274	4.09	1.366	1.44	"urban, fungus forest, verdant"	"artificial temperate, humid, tropical"
335	"Praecipua VII"	371	3.85	1.024	1.55	"plain"	"windy, tropical, temperate"
336	"Praecipua XIX"	371	5.9	0.826	1.93	"field, savanna, jungle, swamp, reef, lakes, tundra"	"superheated, artic, frigid, tropical, artificial temperate"
337	"Galaxaraith Gaios"	847	6.7	1.123	1.81	"jungle, field, island"	"artificial temperate, hot, superheated, rocky"
338	"Zosma VI"	7301	1.95	0.737	1.38	"cliff, mountain"	"windy, subartic, frozen"
339	"Ayeyarwady San"	1228	1.21	1.493	0.93	"plain, rocky canyon, cave, grassland, vine"	"rocky, frozen, artificial temperate, humid"
340	"Koit Kappa"	5697	4.29	1.014	1.62	"jungle"	"frigid, tropical, subartic, temperate"
341	"Koit Mu"	5697	6.18	1.038	1.81	"volcano, jungle, river, ocean, sea, city"	"hot, subartic, artificial temperate, windy, frozen, artic"
342	"Eltanin Zeta"	648	2.55	0.762	1.5	"lakes, rainforest, desert, vine, river"	"superheated, temperate, tropical, humid"
343	"Eltanin Phi"	648	7.68	0.965	2	"grassy hill, swamp, ice canyon, sea, savanna"	"rocky, artificial temperate, tropical, frigid"
344	"Eltanin Beta"	648	1.38	0.6	1.32	"cave, verdant"	"artic"
345	"Nebula Whisper Delta"	1414	7.29	1.313	1.77	"rocky canyon"	"tropical, windy"
346	"Ra's Whisper IX"	2733	1.82	1.017	1.21	"ice cave, glacier, vine"	"superheated, temperate, subartic"
347	"Ra's Whisper VI"	2733	0.91	0.783	1.05	"savanna, city, river"	"subartic, tropical"
348	"Ra's Whisper XVI"	2733	na	1.195	1.67	"ice canyon, canyons, field, fungus forest, jungle, plain, sea, bog"	"rocky, hot, frigid, subartic, tropical, windy"
349	"Ra's Whisper XVII"	2733	0.7	0.986	0.89	"grassland"	"superheated, humid, artic"
350	"Kraz Shi"	6234	na	0.388	1.98	"rocky island, plateau, rainforest, ice cave"	"humid, windy, artificial temperate, subartic, superheated, artic, frozen"
351	"Sakura Mirage Duodecimal"	1079	1.98	0.602	1.49	"glacier, sinkholes, verdant, field, tundra"	"subartic, hot, tropical, artificial temperate"
352	"Hanabi Pegasusian"	617	1.42	1.032	1.11	"sea, jungle"	"tropical"
353	"Kōri XXI"	4240	0.46	1.001	0.77	"savanna, rainforest, ocean, canyons"	"superheated, tropical, humid"
354	"Mintaka Liu"	4009	1.39	1.092	na	"sinkholes"	"hot, arid, windy, frozen"
355	"Ankaa Echoian"	4818	na	0.801	1.17	"city"	"humid, hot, artificial temperate, frigid"
356	"Ankaa Pegasusian"	4818	1.19	1.246	0.98	"cliff, sea, mountain"	"frigid, frozen"
357	"Celaeno IX"	1179	2.47	0.901	1.4	"rocky canyon, jungle, jungle"	"humid, windy, tropical, rocky"
358	"Celaeno VIII"	1179	0.98	0.471	1.28	"desert, rock arche, island, volcano, grassy hill, ash, ice canyon, sea"	"artic, humid, rocky, hot, artificial temperate"
359	"Celaeno III"	1179	1.94	0.462	1.61	"lakes, swamp"	"humid"
360	"Flegetonte XX"	5680	0.86	1.006	0.95	"hill, valley, mountain, field"	"subartic, arid, superheated, artic, hot"
361	"Rasalas Cerberian"	324	8.3	1.3	1.86	"rocky desert"	"frozen, rocky, artic, temperate"
362	"Rasalas Tritonian"	324	1.22	0.534	1.32	"vine, lakes, grassy hill, desert"	"frozen, temperate, hot"
363	"Yildun Pi"	8681	3.64	0.68	1.75	"toxic cloudsea, volcano, urban"	"rocky, superheated, artic"
364	"Grimclaw Hestian"	2680	5.13	0.725	1.92	"ice cave, river"	"artificial temperate, artic, frigid, temperate, frozen"
365	"Grimclaw Olympus"	2680	1.82	1.262	1.13	"urban"	"arid, windy"
366	"Grimclaw Aphroditos"	2680	1.25	0.879	1.12	"lakes, cliff, mountain"	"frigid, temperate"
367	"Grimclaw Nereidos"	2680	7.95	1.027	1.98	"ocean"	"subartic, temperate, windy, superheated, humid"
368	"Phecda Si"	9248	na	1.141	1.7	"glacier, island"	"temperate, artic"
369	"Phecda Shi"	9248	1.5	1.234	1.07	"volcano, savanna"	"rocky, superheated"
370	"Amatsu Echo Secant"	1199	6.21	0.974	1.85	"vine, canyons, forest, grassy hill, tundra, mountain, valley"	"frigid, artificial temperate, tropical, frozen, rocky"
371	"Amatsu Echo Duodecimal"	1199	1.59	0.642	1.35	"ice canyon"	"rocky, superheated, arid, humid, frigid"
372	"Amatsu Echo Sextant"	1199	3.4	1.062	1.47	"rainforest, reef"	"tropical, windy, artic"
373	"Symbionix Octal"	9803	5.92	0.835	1.92	"valley, volcano, ash"	"rocky, hot, arid, windy, artificial temperate, temperate"
374	"Galaxium Nu"	815	6.33	1.117	1.78	"plain, hill, city"	"frozen, artificial temperate, arid, windy"
375	"Sekhmet's Resonance Si"	6184	0.86	0.857	1	"sinkholes, cave, desert, toxic cloudsea, rocky canyon, forest"	"subartic, frigid, rocky, hot, frozen, artificial temperate"
376	"Sekhmet's Resonance San"	6184	0.8	1.261	0.86	"river, savanna, fungus forest, city"	"subartic, frozen, tropical, superheated"
377	"Sekhmet's Resonance Er"	6184	5.62	0.851	1.88	"river, valley"	"humid"
378	"Polis Ba"	8889	3.36	1.102	1.45	"rocky desert, valley, cave"	"hot, temperate, arid"
379	"Polis Qi"	8889	1.31	1.219	1.02	"grassland, reef, rocky canyon"	"rocky, temperate, artificial temperate, subartic"
380	"Polis Yi"	8889	0.38	1.117	0.7	"sea, river"	"artic, tropical, humid"
381	"Polis Er"	8889	0.41	0.874	0.78	"island, canyons"	"frigid, artic, temperate, windy"
382	"Cleopatra's Expanse Shi"	2798	2.78	0.669	1.61	"vine"	"temperate"
383	"Veritate Rho"	2584	1.51	0.917	na	"sinkholes, hill, plain, rocky canyon"	"artificial temperate, temperate, superheated, arid, rocky"
384	"Nebulaflux Quintal"	3821	3.08	0.887	1.51	"grassy hill, urban"	"artic, humid, arid, temperate, subartic"
385	"Nebulaflux Sextant"	3821	8.4	0.91	na	"forest, valley, sea, toxic cloudsea, tundra, sinkholes"	"subartic, artic, temperate, hot, frigid"
386	"Nebulaflux Quartal"	3821	2.88	0.855	1.5	"hill, canyons, cave"	"temperate, humid, hot, subartic, artificial temperate, superheated"
387	"Nebulaflux Tertial"	3821	2.24	0.812	1.4	"savanna"	"tropical, frigid, subartic"
388	"Betelgeuse Oranos"	1850	0.75	1.362	0.82	"jungle"	"rocky, windy, superheated, tropical"
389	"Phantara Asclepian"	6677	2.83	1.137	1.36	"glacier, acid pool"	"hot, tropical, frozen, humid, artificial temperate"
390	"Pulsar Seraph XVII"	675	1.08	0.924	1.05	"rocky island, swamp"	"humid, hot, arid, artic, temperate"
391	"Shogun's Echo Kappa"	6238	5.16	0.929	1.77	"hill, acid pool"	"hot, frigid, tropical, windy"
392	"Shogun's Echo Gamma"	6238	1.73	1.107	1.16	"glacier"	"artic"
393	"Shogun's Echo Upsilon"	6238	2.18	0.591	1.55	"lakes, island, city"	"frigid, artic, subartic, artificial temperate, windy, frozen"
394	"Shogun's Echo Lambda"	6238	2.82	1.201	1.33	"urban, plain, toxic cloudsea, canyons, ice cave, sea"	"artic, frigid, superheated, subartic, humid"
395	"Orion's Echo Quintal"	9951	0.81	1.478	0.82	"plateau, cityscape, sea, lava river, hill, valley, rocky island"	"artificial temperate, superheated, tropical, hot, temperate, arid"
396	"Mirfak Athenian"	9942	8.85	1.186	1.95	"savanna, reef, cave"	"hot, subartic, superheated, rocky"
397	"Arcanix Qi"	541	1.22	1.156	1.02	"forest, plain, savanna, rocky canyon, field"	"subartic, artic, tropical, windy, frigid"
398	"Capella Qi"	7972	6.09	1.313	1.67	"cityscape, field, ocean, glacier, sinkholes, volcano, valley"	"arid, tropical, superheated, frigid, rocky, artic"
399	"Capella Si"	7972	2.11	0.449	1.67	"lakes, plain, hill, toxic cloudsea"	"frozen, temperate, arid, artic, windy"
400	"Capella Shi"	7972	8.5	0.541	2.5	"acid pool"	"frigid, artificial temperate, rocky, hot, tropical"
401	"Haruka Echoes Liu"	86	1.41	0.85	1.18	"urban, valley, desert"	"hot, tropical, artic"
402	"Haruka Echoes Wu"	86	na	0.816	2.05	"ocean, cityscape, jungle"	"artificial temperate, windy, hot"
403	"Haruka Echoes Yi"	86	2.59	0.896	1.42	"ocean, savanna, lakes, fungus forest, sinkholes, rainforest"	"tropical, rocky, superheated, frigid"
404	"Haruka Echoes Ba"	86	4.89	0.991	1.7	"acid pool"	"artificial temperate, humid, artic, frigid"
405	"Helian Nebula Centaurios"	8834	3.47	0.813	1.62	"ice cave, tundra"	"frigid, rocky"
406	"Skaldspark Beta"	9959	2.03	1.069	1.24	"forest, vine, city"	"frozen, subartic, temperate, arid, windy"
407	"Minchir IV"	2350	1.6	0.981	1.18	"cave, swamp, scrubland, savanna, ice cave"	"artificial temperate, artic, arid, tropical, frozen"
408	"Quantumara Nemesisian"	6178	8.07	0.251	3.18	"lakes, glacier"	"artificial temperate, artic"
409	"Stribor Helios"	630	0.8	0.901	0.96	"rainforest, cave"	"rocky, superheated, frigid, frozen, artic, temperate"
410	"Lerna Demetrian"	7735	3.32	1.036	1.47	"plain, mountain"	"arid"
411	"Lerna Olympus"	7735	3.38	0.876	1.57	"canyons"	"artificial temperate, windy, subartic, frozen, hot"
412	"Tangra Liu"	4575	2.18	1.113	1.25	"grassland"	"humid, arid, superheated, artificial temperate"
413	"Secunda Hyadum Jiu"	2199	2.4	0.903	1.38	"grassy hill, desert, rocky island, fungus forest, glacier"	"rocky, humid, temperate, windy, artificial temperate, hot, artic"
414	"Secunda Hyadum Ba"	2199	5.87	1.134	1.73	"lava river"	"rocky, arid, artic, artificial temperate, humid"
415	"Sumi Cascade Quartal"	7740	2.14	0.852	1.36	"reef, savanna, rock arche, field, canyons, rainforest, volcano"	"frigid, temperate, frozen, humid, hot"
416	"Sumi Cascade Undecimal"	7740	0.72	0.468	1.15	"forest, plain, urban, scrubland"	"superheated, rocky, arid, frozen, temperate, windy, artificial temperate"
417	"Sumi Cascade Sextant"	7740	1.05	1.139	0.97	"rock arche"	"frozen, frigid, artic, humid, temperate, rocky"
418	"Sumi Cascade Septimal"	7740	1.55	1.371	1.04	"canyons, desert, glacier, cityscape, lakes, city"	"frigid, subartic, frozen, rocky"
419	"Snowstrider Yi"	4048	3.25	1.019	1.47	"rock arche, rocky island, swamp, savanna, canyons"	"windy, frigid, artificial temperate, hot, humid, rocky, subartic"
420	"Kamuy Qi"	7171	1.19	1.408	0.95	"sea, verdant"	"temperate, frozen, windy"
421	"Kamuy Liu"	7171	8.81	0.733	2.29	"sea, tundra, ash, rock arche, river, plateau, swamp, valley"	"hot, temperate, tropical, frozen, humid, artificial temperate"
422	"Alula Australis Nu"	8431	6.59	1.058	1.84	"bog, reef, rocky canyon, swamp, mountain, ash, cliff"	"windy, humid, artificial temperate, rocky, hot, subartic, superheated"
423	"Alula Australis Eta"	8431	6.69	1.008	1.88	"plain"	"rocky, tropical"
424	"Alula Australis Tau"	8431	2.09	0.92	1.31	"bog, rock arche"	"frigid, humid, arid, rocky"
425	"Alula Australis Theta"	8431	1.17	1.221	0.99	"lava river, sea"	"superheated, rocky, frigid, artic"
426	"Kornephoros Quintal"	8324	2.17	1.002	1.29	"savanna, reef, acid pool, desert"	"frozen, hot, frigid"
427	"Kornephoros Quartal"	8324	2.72	1.252	1.3	"forest"	"rocky, hot, artificial temperate, superheated"
428	"Kornephoros Secant"	8324	6.55	0.78	2.03	"glacier, cliff"	"temperate, artificial temperate, rocky, frozen"
429	"Kornephoros Octal"	8324	1.54	0.843	1.22	"cave"	"frigid, frozen"
430	"Aurum Obscura Persephonian"	5295	1.77	1.394	na	"tundra, cityscape, ash, sea, rocky canyon, vine"	"tropical, humid, superheated, artic, rocky, frozen"
431	"Ruchbah Omega"	2968	2.57	1.092	1.33	"glacier, plain, jungle, field"	"humid, superheated, temperate, artic, subartic, tropical"
432	"Arcadian Whispers Omicron"	9484	na	0.66	1.84	"rainforest, rocky desert, lakes, plain, grassy hill, toxic cloudsea"	"rocky, frozen, artic, humid, frigid"
433	"Anubis' Radiance Vigesimal"	2550	4.32	1.003	1.63	"vine"	"subartic, humid, tropical, frozen"
434	"Anubis' Radiance Decimal"	2550	7.32	1.238	na	"ocean, island, cave"	"superheated, windy, tropical, temperate, rocky"
435	"Crimson Enigma Quartal"	6985	1.19	0.977	na	"ice canyon, rocky desert, grassland, desert, cave"	"artic, hot, humid, frigid, windy, superheated"
436	"Kawa Enigma Harpian"	612	2.76	1.529	1.22	"acid pool, valley, swamp, rocky island, sinkholes, rocky canyon, cityscape, forest"	"hot, temperate, frozen, artic, rocky, humid"
437	"Eaglecrest Nonal"	4916	1.62	1.23	1.1	"plateau"	"subartic, arid"
438	"Galehelm Hermesios"	1344	1.02	0.751	1.11	"acid pool"	"superheated, hot, artic, subartic"
439	"Dubhe Prime"	2096	3.49	0.906	1.57	"cave"	"rocky"
440	"Dubhe Quintal"	2096	3.21	1.279	1.36	"valley, cave"	"tropical"
441	"Cryptic Mirage Nyxios"	9694	3.49	0.973	1.53	"ocean, volcano, island, sinkholes, bog, grassy hill"	"temperate, tropical, windy, superheated, arid"
442	"Tianguan Tau"	5537	0.97	1.136	0.95	"ash"	"superheated, artificial temperate, tropical, frigid, hot"
443	"Tianguan Rho"	5537	na	1.421	0.77	"valley"	"artificial temperate"
444	"Tianguan Zeta"	5537	na	0.728	1.65	"field, forest"	"hot, tropical, superheated"
445	"Tianguan Chi"	5537	4.71	1.036	1.66	"urban, jungle, valley"	"windy, humid, hot"
446	"Markab Secant"	9999	8.26	0.835	2.15	"acid pool, hill, rocky island, savanna, verdant"	"superheated, humid, temperate"
447	"Markab Tertial"	9999	na	0.948	2.13	"volcano, mountain, jungle"	"superheated, hot, subartic, frigid, tropical, humid"
